gpa,performance,_id,factor1,factor2,factor3,factor4,factor5
11.14,9.27,258147,0.58,0.3,0.05,0.83,0.69
15.61,15.61,260344,0.87,0.73,0.45,0.78,0.28
11.38,10.39,259570,0.99,0.96,0.69,0.46,0.79
10.84,9,256743,0.66,0.68,0.22,0.76,0.45
6.69,3.54,260314,0.37,0.59,0.51,0.93,0.27
12.69,12.2,257835,0.46,0.75,0.08,0.77,0.31
6.75,3.58,195542,0.39,0.84,0.56,0.34,0.58
13.9,13.9,262242,0.96,0.74,0.87,0.68,0.95
8.44,5.88,188508,0.99,0.54,0.65,0.41,0.94
13.38,13.1,255884,0.07,0.2,0.78,0.11,0.91
11.29,10.66,262430,0.96,0.86,0.69,0.32,0.18
8.23,5.69,263875,0.3,0.89,0.87,0.47,0.4
14.42,14.42,262073,0.83,0.75,0.21,0.75,0.17
10.68,8.8,262928,0.31,0.69,0.83,0.45,0.98
1.27,0.85,255887,0.47,0.54,0.83,0.11,0.06
12.09,11.34,254733,0.92,0.45,0.22,0.58,0.21
12.7,12.1,260577,0.36,0.86,0.32,0.32,0.01
8.38,5.46,260001,0.81,0.34,0.69,0.9,0.04
12.84,12.84,254475,0.85,0.86,0.57,0.87,0.24
13.94,13.7,261949,0.15,0.47,0.8,0.14,0.86
12.32,10.64,204170,0.53,0.98,0.58,0.61,0.65
8.8,4.44,254539,0.82,0.5,0.68,0.57,0.27
12.83,12.59,263986,0.05,0.32,0.36,0.09,0.45
6.92,3.77,262268,0.52,0.22,0.67,0.65,0.76
12.95,12.5,200917,0.19,0.57,0.55,0.43,0.97
12.52,12.39,256296,0.13,0.7,0.56,0.68,0.87
12.42,11.79,257826,0.93,0.72,0.23,0.84,0.59
14.49,14.49,264348,0.95,0.94,0.88,0.9,0.98
10.93,9.43,254751,0.5,0.82,0.61,0.93,0.47
6.39,1.89,254723,0.28,0.6,0.44,0.78,0.8
11.16,9.29,259212,0.2,0.07,0.66,0.88,0.38
13.07,12.57,253242,0.96,0.74,0.71,0.49,0.79
12.09,10.71,259466,0.28,0.56,0.87,0.98,0.77
12.43,11.69,258417,0.65,0.07,0.77,0.31,0.87
3.08,0.85,253842,0.52,0.56,0.56,0.53,0.89
12.29,11.44,262240,0.36,0.02,0.39,0.31,0.8
7.23,2.77,261591,0.22,0.6,0.91,0.35,0
8,5.83,254857,0.68,0.85,0.84,0.2,0.45
5.62,1.69,260505,0.65,0.35,0.69,0.91,0.98
12.11,11.26,260293,0.39,0.4,0.26,0.59,0.35
13.83,13.83,259317,0.17,0.46,0.11,0.83,0.56
11.67,10.8,258256,0.23,0.55,0.44,0.95,0.02
11.42,10.03,262199,0.09,0.58,0.27,0.09,0.43
11.73,11.36,199651,0.15,0,0.19,0.35,0.59
2.62,0.77,259242,0.03,0.17,0.37,0.59,0
7.31,4.38,256654,0.67,0.23,0.42,0.85,0.38
3,1.67,263848,0.73,0.28,0.16,0.02,0.16
15.17,15.17,204139,0.37,0.66,0.73,0.99,0.13
8.31,5.15,256105,0.06,0.52,0.15,0.23,0.59
11.68,10.8,252307,0.21,0.16,0.88,0.75,0.53
7.77,5,258682,0.34,0.69,0.06,0.13,0.88
10.48,8.12,203133,0.63,0.97,0.4,0.46,0.39
12.35,12.35,253863,0.73,0.73,0.47,0.05,0.81
16.42,16.42,256568,0.64,0.02,0.78,0.23,0.83
11.05,9.53,254188,0.06,0.05,0.85,0.06,0.91
10.01,7.6,256976,0.35,0.37,0.5,0.47,0.86
7.08,2.62,257876,0.72,0.12,0.93,0.06,0.27
8.83,4.5,253924,0.94,0.55,0.55,0.55,0.23
2.02,0.51,259199,0.92,0.22,0.19,0.76,0.87
10.47,8.56,253779,0.28,0.02,0.19,0.23,0.19
11.15,10.35,201640,0.67,0.53,0.19,0.15,0.44
4.83,3,212049,0.14,0.73,0.66,0.72,0.38
11.95,10.96,256089,0.73,0.31,0.77,0.49,0.18
10.78,8.99,259512,0.63,0.1,0.33,0.24,0.71
12.87,12.87,255112,0.35,0.38,0.23,0.78,0.52
8.38,6.23,255335,0.65,0.02,0.73,0.72,0.11
14.13,14.13,254816,0.28,0.58,0.23,0.59,0.96
11.29,10.04,255986,0.64,0.8,0.38,0.49,0.94
2.38,1.92,255390,0.62,0.68,0.06,0.01,0.17
9,5.77,296055,0.16,0.36,0.12,0.69,0.63
10,10,191063,0.63,0.14,0.93,0.3,0.24
8.2,2,191907,1,0.99,0.48,0.02,0.44
10.69,9.31,301961,0.01,0.34,0.67,0.45,0.43
4.15,1.69,294802,0.8,0.09,0.85,0.4,0.22
6.33,5.67,307632,0.32,0.02,0.43,0.42,0.94
6,2.92,299651,0.24,0.02,0.62,0.28,0.92
7.61,3.04,297555,0.5,0.38,0.29,0.26,0.76
12.52,12.4,296691,0.74,0.16,0.17,0.69,0.98
9.25,5.5,191334,0.79,0.15,0.33,0.14,0.46
3.42,1.32,294183,0.34,0.85,0.6,0.94,0.14
4,2,305036,0.51,0.57,0.91,0.11,0.17
5,2.36,308296,0.12,0.49,0.24,0.33,0.26
11.31,9.52,303255,0.75,0.6,0.58,0.63,0.41
8.09,7.01,303458,0.6,0.31,0.97,0.07,0.84
12.78,12.52,307986,0.79,0.75,0.96,0.41,0.6
13.87,13.6,302448,0.6,0.96,0.42,0.79,0.21
13.99,13.75,300690,0.48,0.51,0.1,0.23,0.12
11.4,9.79,301754,0.48,0.77,0.92,0.73,0.96
13.3,13.3,296969,0.32,0.3,0.96,0.15,0.08
13.09,12.36,210237,0.42,0.65,0.32,0.38,0.72
6.93,6.12,294272,0.43,0.22,0.31,0.27,0.03
14.18,14.18,297784,0.01,0.04,0.06,0.02,0.3
15.23,15.23,211791,0.74,0.08,0.64,0.76,0.08
13,12.44,300834,0.95,0.27,0.22,0.9,0.56
16.66,16.66,296825,0.76,0.73,0.95,0.51,0.31
6.63,4.89,309375,0.61,0.89,0.12,0.5,0.28
11.27,9.93,294604,0.66,0.8,0.33,0.72,0.06
14.69,14.69,302224,0.53,0.56,0.76,0.53,0.94
10.97,9.64,295231,0.77,0.87,0.67,0.1,0.6
14.84,14.84,294089,0.34,0.74,0.77,0.29,0.63
14.8,14.8,305112,0.44,1,0.61,0.69,0.08
12.76,12.76,297548,0.05,0.27,0.79,0.58,0.18
12.43,11.56,293271,0.73,0.77,0.69,0.71,0.14
5.85,2.62,305434,0.95,0.21,0.21,0.97,0.31
11.31,9.88,215745,0.01,0.95,0.68,0.48,0.22
14.85,14.85,307090,0.91,0.2,0.69,0.96,0.05
9.16,5.19,308563,0.72,0.53,0.96,0.92,0.71
7.46,4.62,299358,0.68,0.86,0.83,0.16,0.38
3.83,1.83,298460,0.04,0.89,0.66,0.87,0.7
13.79,13.79,306522,0.5,0.28,0.89,0.35,0.22
2.13,0.92,302251,0.16,0.6,0.29,0.16,0.52
13.43,13.43,304304,0.63,0.43,0.74,0.15,0.19
15.87,15.87,299086,0.93,0.57,0.73,0.18,0.25
11.3,10.07,293273,0.6,0.07,0.43,0.27,0.2
10.77,9.53,307342,0.68,0.05,0.32,0.28,0.24
5.37,4.94,308426,0.62,0.66,0.6,0.8,0.94
10,10,206255,0.33,0.22,0.69,0.33,0.89
15.73,15.73,214521,0.12,0.23,0.19,0.82,0.24
14.45,14.45,296409,0.26,0.03,0.93,0.53,0.36
4.38,0.77,292636,0.35,0.25,0.84,0.95,0.44
12.47,12.23,254173,0.95,0.2,0.53,0.17,0.1
14.25,13.99,297632,0.68,0.92,0.45,0.72,0.73
8.6,5.6,214572,0.47,0.92,0.28,0.84,0.32
13.62,13.62,299122,0.59,0.25,0.51,0.35,0.79
7.08,3.54,295850,0.65,0.2,0.3,0.08,0.53
14.19,14.19,296040,0.75,0.25,0.16,0.84,0.45
11.48,9.82,301713,0.2,0.59,0.61,0.31,0.67
13.13,13.13,304372,0.93,0.16,0.79,0.52,0.2
9,5.89,299319,0.77,0.97,0.96,0.83,0.05
11.19,9.27,297459,0.12,0.61,0.42,0.9,0.79
4.4,0,204940,0.14,0.54,0.48,0.19,0.39
12.35,12.02,298929,0.82,0.34,0.23,0.25,0.39
12.22,11.72,304999,0.95,0.23,0.29,0.18,0.99
8.92,5.11,294521,0.24,0.62,0.06,0.75,0.87
14,14,194975,0.6,0.46,0.97,0.21,0.74
10.94,8.69,297977,0.4,0.44,0.26,0.81,0.68
16.43,16.43,306323,0.99,0.83,0.52,0.89,0.43
14.52,14.52,296907,0.83,0.07,0.25,0.94,0.35
11.73,10.45,305070,0.67,0.36,0.78,0.58,0.93
10.38,9.38,190783,0.64,0.44,0.63,0.91,0.17
12.24,10.94,209947,0.17,0.51,0.63,0.54,0.68
14.33,14.33,300844,0.27,0.77,0.59,0.46,0.94
12.34,12.15,303378,0.89,0.8,0.18,0.08,0.62
10.54,7.85,296916,0.52,0.13,0.37,0.07,0.72
11.18,10.3,299131,0.93,0.89,0.58,0.2,0.83
0.33,0,292546,0.95,0.5,0.51,0.38,0.37
9.51,8.02,301987,0.07,0.1,0.5,0.98,0.89
12.4,12.15,302495,0.46,0.46,0.73,0.36,0.35
12.22,11.35,309269,0.22,0.71,0.75,0.78,0.25
11.77,10.7,293276,0.31,0.78,0.19,0.05,0.65
16.25,16.25,308376,0.73,0.46,0.89,0.58,0.43
3,0.77,299446,0.64,0.24,0.84,0.29,0.81
11.69,11.69,217837,0.29,0.04,0.68,0.83,0.33
13.43,13.43,295167,0.73,0.89,0.35,0.18,0.01
11,11,192631,0.67,0.98,0.36,0.56,0.79
9.23,5.85,292642,0.29,0.13,0.58,0.44,0.51
14.08,14.08,209836,0.39,0.92,0.26,0.95,0.31
8.61,5.57,304490,0.29,0.37,0.61,0.15,0.31
14.15,13.88,293814,0.06,0.83,0.02,0.22,0.13
8,0,202187,0.64,0.68,0.51,0.84,0.98
10.72,8.01,295943,0.08,0.92,0.47,0.73,0.74
13.33,13.33,296478,0.93,0.54,0.08,0.57,0.17
6.92,4.23,297805,0.59,0.77,0.45,0.24,0.2
6.62,2.54,306061,0.63,0.84,0.85,0.95,0.02
13.03,13.03,295860,0.43,0.2,0.3,0.37,0.47
12.49,12.26,304288,0.44,0.62,0.59,0.6,0.45
13.73,13.73,216421,0.39,0.93,0.29,0.65,0.63
10,6.94,215465,0.87,0.67,0.14,0.37,0.17
4.92,2.85,307216,0.89,0.04,0.05,0.27,0.06
11.86,10.75,306645,0.83,0.14,0.99,0.85,0.01
6.33,3.21,302192,0.89,0.54,0,0.35,0.26
9.69,5.46,298260,0.39,0.38,0.93,0.25,1
9.57,7.95,304671,0.16,0.44,0.64,0.32,0.77
11.62,10.68,299485,0.36,0.52,0.54,0.94,0.87
9.4,6.23,296443,0.6,0.52,0.97,0.96,0.59
13.58,13.58,299951,0.03,0.2,0.04,0.46,0.22
15.41,15.41,304247,0.92,0.87,0.04,1,0.75
11.85,11.49,308863,0.34,0.3,0.7,0.24,0.62
10.19,8.94,297214,0.81,0.67,0.86,0.4,0.09
8.38,5.23,298561,0.13,0.47,0.24,0.98,0.69
5.77,1.69,294291,0.56,0.5,0.19,0.94,0.45
12.94,12.52,300169,0.23,0.63,0.82,0.65,0.98
12.94,12.79,304694,0.22,0.6,0.32,0.01,0.89
9.85,6.62,299547,0.34,0.59,0.17,0.41,0.98
6.85,2.46,308102,0.85,0.67,0.56,0.15,0.03
13.02,13.02,297917,0.43,0.89,0.07,0.87,0.36
12.51,12.51,292522,0.78,0.54,0.98,0.54,0.3
10.97,8.87,298867,0.73,0.36,0.91,0.51,0.53
12.01,10.99,299172,0.64,0.61,0.2,0.3,0.75
13.12,12.98,295865,0.4,0.41,0.21,0.35,0.17
12.13,9.13,203679,0.67,0.31,0.36,0.77,0.21
14.06,14.06,299123,1,0.71,0.87,0.85,0.15
11.4,11.4,194223,0.24,0.36,0.85,0.5,0.98
14.13,14.13,308651,0.61,0.52,0.03,0.02,0.47
9.31,7,308442,0.67,0.25,0.57,0.43,0.96
9.38,5.38,299310,0.13,0.67,0.74,0.51,0.21
6.72,1.28,297501,0.61,0.25,0.04,0.42,0.85
12,12,193843,0.45,0.19,0.04,0.26,0.75
17.25,17.25,304481,0.68,0.19,0.79,0.34,0.64
14.31,14.31,212534,0.11,0.1,0.22,0.35,0.57
8.29,3.91,305962,0.15,0.93,0.98,0.06,0.12
13.06,12.79,299181,0.46,0.54,0.13,0.85,0.93
7.38,4.85,305784,0.78,0.55,0.38,0.46,0.85
13.51,12.97,307641,0.27,0.63,0.74,0.36,0.67
14.49,14.49,293282,0.3,0.1,0.47,0.3,0.64
14.27,14.27,303035,0.78,0.59,0.83,0.29,0.63
15.9,15.9,301334,0.62,0.2,0.08,0.11,0.6
13.21,13.21,299966,0.11,0.85,0.03,0.58,0.12
16.63,16.63,295753,0.39,0.5,0.43,0.06,0.86
14.94,14.94,294350,0.75,0.15,0.57,0.9,0.33
8.97,5.64,301733,0.28,0.98,0.42,0.72,0.94
12.8,12,304829,0.68,0.39,0.42,0.46,0.57
14.48,14.48,305883,0.26,0.95,0.72,0.6,0.74
14.97,14.97,302331,0.15,0.98,0.85,0.93,0.88
14.51,14.51,299169,0.38,0.9,0.66,0.08,0
6.85,4.69,303087,0.33,0.55,0.62,0.26,0.44
14.95,14.95,302311,0.18,0.25,0.66,0.74,0.2
13.32,13.32,298300,0.01,0.67,0.56,0.28,0.21
12.81,11.71,292648,0.11,0.05,0.21,0.33,0.55
12.71,12.43,299776,0.57,0.28,0.45,0.24,0.38
10.34,8.53,299419,0.36,0.02,0.72,0.35,0.65
12.03,11.62,307259,0.85,0.65,0.87,0.8,0.99
14.34,14.34,268974,0.49,0.25,0.02,0.71,0.35
14.16,14.16,295510,0.51,0.24,0.75,0.29,0.12
10,10,203270,0.75,0.7,0.34,0.15,0.28
12.5,12.5,201858,0.21,0.9,0.74,0.76,0.8
14.29,14.29,299068,0.54,0.01,0.27,0.53,0.08
9.74,8.29,298264,0.1,0.73,0.51,0.15,0.9
11.48,10.63,300018,0.47,0.99,0.69,0.82,0.02
7.85,3.62,294206,0.92,0.29,0.83,0.01,0.24
13,13,194607,0.93,0.04,0.09,0.21,0.82
11.92,10.92,305636,0.62,0.43,0.75,0.68,0.55
6.31,2,299478,0.18,0.9,0.25,0.96,0.47
6.38,4.38,304876,0.91,0.89,0.9,0.09,0.86
16.15,16.15,303235,0.08,0.69,0.47,0.28,0.82
13.62,13.62,296331,0.21,0.99,0.76,0.16,0.85
7.72,5.03,306636,0.01,0.67,0.86,0.21,0.44
1.79,1,309376,0.06,0.34,0.13,0.19,0.44
14.34,14.06,298567,0.76,0.32,0.93,0.4,0.11
9.85,7.23,297268,0.07,0.17,0.01,0.05,0.15
13.01,12.93,295075,1,0.43,0.02,0.72,0.94
7.46,4.08,296837,0.88,0.43,0.88,0.45,0.66
13.34,12.54,301773,0.24,0.84,0.12,0.95,0.87
13.58,13.58,302554,1,0.73,0.47,0.9,0.71
14.72,14.72,297843,0.01,0.17,0.4,0.95,0.03
14.68,14.68,309227,0.56,0.15,0.25,0.23,0.12
12.66,12,293283,0.72,0.97,0.42,0.88,0.88
12.19,11.64,303132,0.04,0.33,0.53,0.6,0.49
4.69,2.15,305898,0.92,0.11,0.41,0.94,0.68
11.04,10.1,305953,0.78,0.11,0.63,0.7,0.21
11.43,10.25,307382,0.72,0.08,0.92,0.52,0.06
10,10,202207,0.67,0.8,0.55,0.05,0.45
5.46,1.85,306380,0.76,0.02,0.21,0.15,0.79
14.58,14.58,300336,0.89,0.51,0.69,0.04,0.24
9.8,8.07,301427,0.69,0.52,0.01,0.64,0.16
12.87,12.11,297528,0.83,0.81,0.93,0.53,0.93
11.76,11.25,297533,0.58,0.22,0.7,0.4,0.6
3.23,0.85,295787,0.89,0.58,0.89,0.34,0.4
12.92,12.51,292652,0.28,0.89,0.78,0.15,0.07
12.49,11.67,297242,0.95,0.45,0.06,0.65,0.42
10.23,7.15,306005,0.84,0.47,0.75,0.13,0.77
17.58,17.58,292653,0.41,0,0.69,0.97,0.8
10.86,8.78,304415,0.99,0.97,0.13,0.25,0.57
6.5,2.33,305476,0.74,0.82,0.15,0.73,0.52
13.85,13.71,294763,0.86,0.7,0.49,0.92,0.09
12.13,10.96,299896,0.23,0.51,0.27,0.44,0.93
1.8,0,201336,0.51,0.42,0.05,0.65,0.75
3.08,2.46,304695,0.93,0.08,0.42,0.99,0.33
3.54,1.69,303379,0.97,0.06,0.83,0.16,0.45
10.02,8.33,294885,0.1,0.84,0.41,0.5,0.04
11.75,10.56,300010,0.7,0.26,0.37,0.3,0.63
8.44,5.22,305614,0.09,0.3,0.99,0.75,0.17
12.17,12.17,200811,0.84,0.77,0.43,0.63,0.7
4.38,2.62,304828,0.35,0.19,0.47,0.54,0.11
12.5,12.5,206245,0.56,0.6,0.56,0.02,0.78
7.56,5.1,302825,0.24,0.3,0.77,0.48,0.25
5.83,3.83,304683,0.13,0.3,0.98,0.27,0.31
12.32,11.56,297270,0.37,0.57,0.14,0.21,0.54
13.27,13.27,299803,0.24,0.18,0.52,0.89,0.92
5.92,1.92,298684,0.64,0.58,0.09,0.12,0.31
10.52,8.99,303012,0.64,0.55,0.66,0.16,0.71
7.29,5,189411,0.82,0.9,0.23,0.4,0.43
0,0,303562,0.28,0.67,0.84,0.68,0.03
3.54,0.77,295855,0.98,0.05,0.72,0.41,0.32
14.45,14.45,292657,0.04,0.85,0.03,0.27,0.99
8.46,5.15,309077,0.21,0.11,0.79,0.8,0.18
12.52,11.78,296265,0.77,0.14,0.52,0.52,0.77
14.88,14.88,295739,0.45,0.34,0.34,0.19,0.32
9.15,3.85,303329,0.16,0.2,0.94,0.59,0.76
12.92,12.63,296467,0.85,0.22,0.7,0.19,0.93
13.31,13.04,298376,0.89,0.59,0.14,0.18,0.25
13.3,13.3,295852,0.47,0.7,0.9,0.29,0.27
13.5,13.5,192367,0.94,0.35,0.35,0.95,0.49
6.54,3.85,305796,0.74,0.41,0.98,0.99,0.9
13.99,13.99,307910,0.01,0.39,0.58,0.04,0.7
13.41,13.41,308692,1,0.06,0.3,0.15,0.43
4.62,1.69,298536,0.29,0.27,0.37,0.85,0.8
12.57,12.19,299194,0.29,0.72,0.2,0.61,0.34
3.38,0,301229,0.59,0.88,0.46,0.82,0.85
14.31,14.31,298342,0.24,0.39,0.32,1,0.49
12.25,11.7,303417,0.97,0.96,0.37,0.16,0.92
11.91,10.72,305043,0.35,0.47,0.28,0.72,1
12,10.85,200349,0.09,0.16,0.3,0.26,0.75
4.85,2.69,302171,0.86,0.73,0.09,0.2,0.58
10.48,7.74,309232,0.03,0.4,0.85,0.42,0.68
16,16,200804,0.58,0.99,0.72,0.19,0.86
6.65,2.76,303358,0.77,0.64,0.5,0.86,0.31
11.56,10.44,294090,0.19,0.69,0.79,0.76,0.24
11.39,10.43,301314,0.9,0.2,0.54,0.95,0.79
14.89,14.89,291280,0.15,0.21,0.11,0.73,0.06
12,11.04,305342,0.67,0.27,0.45,0.12,0.89
14.02,14.02,292525,0.18,0.45,0.57,0.99,0.27
13.22,12.97,306090,0.86,0.2,0.37,0.88,0.34
5.08,2.62,309639,0.49,0.33,0.71,0.11,0.57
12,12,172036,0.34,0.03,0.85,0.7,0.2
14.15,14.15,297790,0.61,0.79,0.44,0.32,0.12
12.38,11.16,295605,0.67,0.51,0.69,0.63,0.45
12.66,12.26,292320,0.9,0.22,0.7,0.1,0.93
12.85,12.34,301304,0.05,0.81,0.55,0.78,0.94
6.88,2.59,294820,0.5,0.52,0.94,0.07,0.74
15,14.72,299968,0.4,0.96,0.71,0.7,0.03
12.93,12.26,294700,0.63,0.3,0.96,0.95,0.59
12.27,11.23,292526,0.46,0.62,0.48,0.48,0.25
12.8,12.28,302440,0.32,0.96,0.47,0.1,0.42
6.62,4.38,304371,0.8,0.88,0.65,0.41,0.54
14.46,14.33,298282,0.07,0.47,0.34,0.34,0.37
14.31,14.31,213470,0.82,0.44,0.89,0.84,0.66
14.15,14.15,302776,0.35,0.24,0.65,0.5,0.96
12.2,11.38,302900,0.83,0.48,0.84,0.21,0.16
12.19,11.76,299801,0.32,0.75,0.84,0.46,0.32
8.08,5.08,301111,0.51,0.42,0.73,0.19,0.67
4.69,2.62,292659,0.69,0.89,0.05,0.24,0.58
5.38,2.62,300957,0.83,0.11,0.38,0.2,0.98
8.23,4.85,308460,0.77,0.8,0.83,0.03,0.92
12.14,10.87,303617,0.67,0.84,0.12,0.96,0.92
6.15,3.62,303126,0.72,0.84,0.58,0.1,0.26
12.45,11.72,294653,0.16,0.97,0.27,0.04,0.79
15.17,15.17,293424,0.73,0.36,0.42,0.54,0.02
13.46,12.79,301138,0.54,0.68,0.25,0.75,0.06
5.63,1.42,298039,0.44,0.21,0.46,0.84,0.39
11.72,10.49,297333,0.38,0.72,0.42,0.5,0.42
10.99,9.19,294355,0.55,0.99,0.27,0.48,0.62
10.32,8.16,308206,0.03,0.95,0.57,0.29,0.69
8.77,6.15,300162,0.4,0.53,0.4,0.36,0.77
11.13,9.61,299096,0.68,0.69,0.01,0.71,0.52
12.02,11.28,302739,0.8,0.59,0.35,0.13,0.27
10.25,7.68,299062,0.44,0.37,0.54,0.48,0.09
5.75,4.9,302361,0.26,0.29,0.79,0.67,0.47
8.15,4.31,307227,0.89,0.69,0.61,0.82,0.96
6.98,4.72,299067,0.91,0.57,0.03,0.19,0.51
10.52,9.04,295742,0.59,0.25,0.55,0.23,0.44
9.31,7.01,295224,0.08,0.14,0.15,0.35,0.1
10.72,8.64,306359,0.98,0.7,0.8,0.27,0.69
12.03,11.12,308203,0.73,0.99,0.27,0.54,0.21
8.38,3.15,297496,0.05,0.91,0.41,0.96,0.91
12.23,11.21,298952,0.15,0.87,0.22,0.29,0.4
14.93,14.93,294860,0.03,0.17,0.66,0.18,0.88
2.83,0,296500,0.86,0.33,0.97,0.11,0.19
5.42,1.21,294222,0.89,0.14,0.12,0.79,0.91
15.2,15.2,305915,0.26,0.5,0.82,0.6,0.22
11.68,10.23,298281,0.67,0.48,0.66,0.86,0.69
12.7,12.41,306516,0.23,0.91,0.19,0.82,0.31
14.62,14.62,296259,0.69,0.64,0.29,0.51,0.93
15.76,15.76,304874,0.58,0.2,0.06,0.29,0.9
13.55,13.55,300275,0.6,0.48,0.87,0.02,0.11
8.23,5.38,295733,0.62,0.97,0.18,0.36,0.15
8,5,199557,0.89,0.64,0.33,0.84,0.02
12.1,10.93,302227,0.97,0.35,0.3,0.14,0.86
12.14,10.87,301603,0.08,0.62,0.36,0.73,0.16
9.35,6.39,302584,0.37,0.5,0.55,0.71,0.15
15.33,15.33,215430,0.15,0.8,0.95,0.12,0.02
4.15,1.92,294236,0.84,0.67,0.37,0.98,0.31
5.25,4.58,202159,0.15,0.8,0.9,0.21,0.38
12.75,12.63,296928,0.47,0.76,0.45,0.32,0.75
14.37,14.37,305697,0.02,0.15,0.32,0.11,0.96
15.6,15.6,302270,0.75,0.48,0.19,0.5,0.46
11.08,8.31,210314,0.15,0.2,0.23,0.82,0.45
12.28,11.84,268479,0.46,0.82,0.09,0.54,0.47
8,0,106481,0.15,0.41,0.31,0.64,0.5
17.34,17.34,301892,0.77,0.52,0.07,0.69,0.13
8.2,6.6,192887,0.31,0.62,0.72,0.2,0.5
7.46,5.08,298950,0.32,0.35,0.54,0.97,0.91
4.15,0.85,298412,0.51,0.1,0.8,0.04,0.57
6.69,2,308722,0.65,0.37,0.44,0.11,0.85
12.06,11.06,296144,0.01,0.95,0.27,0.58,0.3
6.38,1.77,300362,0.28,0.71,0.43,0.92,0.05
9.89,6.89,199734,0.34,0.43,0.79,0.91,0.54
13.15,12.54,301646,0.6,0.31,0.5,0.3,0.09
14,14,215983,0.05,0.07,0.43,0.2,0.11
9.75,8.5,201123,0.37,0.58,0.46,0.62,0.6
2.38,1.5,203419,0.86,0.72,0.59,0.44,0.92
15.11,15.11,304629,0.76,0.96,0.05,0.53,0.91
13.97,13.97,295182,0.83,0.95,0.44,0.36,0.11
6.54,4.69,302555,0.32,1,0.04,0.95,0.43
15.22,15.22,301716,0.48,0.88,0.73,0.87,0.84
12.32,11.91,307585,0.2,0.06,0.51,0,0.38
11.99,10.24,301889,1,0.06,0.72,0.34,0.65
14,14,297278,0.82,0.61,0.36,0.34,0.73
3.33,2.17,305189,0.98,1,0.34,0.52,0.58
7.77,2.77,298076,0.5,0.54,0.5,0.86,0.99
7.69,4.54,298086,0.55,0.2,0.46,0.41,0.14
15.5,15.5,178435,0.51,0.38,0.91,0.78,0.68
16.32,16.32,300208,0.78,0.85,0.85,0.24,0.19
15.17,15.17,306966,0.37,0.52,0.96,0.08,0.08
12.65,12.65,301139,0.67,0.89,0.92,0.69,0.28
9.04,5.74,302437,0.45,0.64,0.44,0.57,0.18
10.52,9.66,292319,0.72,0.29,0.46,0.67,0.79
10.72,8.62,296205,0.92,0.52,0.12,0.4,0.26
12.54,11.89,305735,0.54,0.26,0.46,0.66,0.6
11.38,9.82,308528,0.13,0.1,0.75,0.77,0.82
12.2,10,216900,0.97,0.28,0.09,0.89,0.74
3.75,1.42,297631,0.63,0.43,0.17,0.79,0.08
0,0,268478,0.63,0.01,0.22,0.14,0.15
2.77,0.77,296953,0.6,0.35,0.37,0.35,0.47
4.83,2.67,309449,0.13,0.2,0.52,0.46,0.43
5.46,2,304459,0.39,0.89,0.66,0.49,0.89
11.61,10.24,293093,0.97,0.77,0.11,0,0.04
11.17,10.13,304346,0.38,0.29,0.52,0.54,0
7.54,5.85,304812,0.56,0.78,0.49,0.98,0.77
8.02,5.71,304369,0.26,0.43,0.94,0.91,0.2
12.58,11.83,303337,0.05,0.88,0.39,0.75,0.05
15.18,15.18,299804,0.32,0.52,0.41,0.46,0.48
1.54,0,310027,0.48,0.63,0.73,0.56,0.06
4.31,1.62,307921,0.89,0.41,0.91,0.89,0.59
13,13,190307,0.98,0.88,0.74,0.82,0.36
4,0.77,295870,0.2,0.83,0.76,0.57,0.92
12.38,11.81,307403,0.97,0.76,0.38,0.23,0.61
12.25,11.8,297328,0.22,0.84,0.49,0.06,0.08
10.25,8,195405,0.19,0.63,0.58,0.89,0.3
9.33,7.46,301109,0.7,0.3,0.13,0.04,0.16
12.45,11.94,295525,0.74,0.02,0.15,0.96,0.01
11.69,11.28,299304,0.74,0.61,0.65,0.8,0.99
8.92,4.15,298453,0.69,0.52,0.22,0.6,0.53
13.15,13.15,212964,0.57,0.79,0.88,0.57,0.99
10.38,8.37,297479,0.92,0.66,0.96,0.99,0.83
13.67,13.27,299075,0.96,0.34,0.54,0.53,0.39
10.19,8.19,305659,0.04,0.2,0.05,0.67,0.24
8.64,5.86,297350,0.84,0.06,0.74,0.34,0.99
10.92,9.12,307906,0.34,0.2,0.31,0.21,0.77
7.38,2.54,300990,0.53,0.44,0.06,0.49,0.09
12.69,12.21,301469,0.78,0.96,0.18,0.95,0.9
7.08,3.46,302577,0.66,0.89,0.53,0.07,0.75
11.94,11.7,306712,0.23,0.86,0.89,0.06,0.56
7.08,0.77,299142,0.12,0.19,0.78,0.64,0.96
11.23,9.23,305505,0.57,0.2,0.81,0.55,0.99
12.03,11.52,301886,0.31,0.75,0.09,0.76,0.6
10.31,6.62,306659,0.63,0.11,0.24,0.05,0.14
10.73,7.92,296983,0.32,0.49,0.14,0.49,0.26
7.58,5.37,309390,0.81,0.33,0.66,0.39,0.47
5.62,3.23,306312,0.43,0.51,0.51,0.28,0.42
8.72,6.49,296253,0.97,0.93,0.41,0.4,0.89
9.21,7.62,306387,0.01,0.19,0.93,0.55,0.19
15.36,15.36,212704,0.17,0.08,0.32,0.85,0.3
15.94,15.94,302765,0.81,0.38,0.48,0.37,0.5
7.73,3.05,304416,0.6,1,0.03,0.36,0.08
9,5,200062,0.56,0.79,0.74,0.48,0.71
